Tanggal,suhu,kelembapan,curah hujan,kecepatan angin harian
2019-04-10,28,84,0,3
2019-04-11,28.4,84,0,3
2019-04-12,29.1,82,0,2
2019-04-13,28.5,80,0,2
2019-04-14,28.7,82,0,3
2019-04-15,27.5,90,7.2,2
2019-04-16,28.4,86,8888,2
2019-04-17,28.5,80,0,2
2019-04-18,29.3,87,2.8,2
2019-04-19,28.2,82,0,3
2019-04-20,28.5,90,0,2
2019-04-21,28.7,82,0,2
2019-04-22,28.2,85,0,2
2019-04-23,28.4,80,0,3
2019-04-24,29,84,0,2
2019-04-25,29,84,0,2
2019-04-26,28,84,0,2
2019-04-27,28.3,84,0,3
2019-04-28,28,85,8888,2
2019-04-29,29.5,80,0.1,4
2019-04-30,27.2,90,0.4,2
2019-05-01,29.1,85,2.6,3
2019-05-02,29.4,83,0,2
2019-05-03,29.8,83,0,3
2019-05-04,28.8,81,0,3
2019-05-05,27.8,85,52.4,2
2019-05-06,27.6,87,22.4,2
2019-05-07,28.3,81,8888,3
2019-05-08,28,87,15,3
2019-05-09,28,86,17.7,3
2019-05-10,28.2,88,0,2
2019-05-11,27.9,89,1.6,2
2019-05-12,28.6,90,0.1,2
2019-05-13,28.4,84,8888,2
2019-05-14,28.4,85,8888,2
2019-05-15,27.6,91,74.6,2
2019-05-16,26.9,92,4.5,2
2019-05-17,27.3,82,0.4,2
2019-05-18,28.2,82,0,3
2019-05-19,27.4,85,51,3
2019-05-20,27.6,87,27,2
2019-05-21,28.2,87,0.2,2
2019-05-22,27.5,89,3.1,2
2019-05-23,27.8,84,0,3
2019-05-24,27.6,90,0,1
2019-05-25,28.5,90,0,3
2019-05-26,27.7,84,0,2
2019-05-27,28,87,0,2
2019-05-28,27,95,0,2
2019-05-29,28.1,90,0,3
2019-05-30,26.9,90,57.8,2
2019-05-31,27.2,90,8888,2
2019-06-01,27.4,92,11.2,2
2019-06-02,27.4,94,6,3
2019-06-03,27.1,89,8888,2
2019-06-04,28.7,89,0,2
2019-06-05,28.1,89,0,2
2019-06-06,26.3,94,1.2,2
2019-06-07,27.4,91,2.2,2
2019-06-08,27.7,84,3.8,2
2019-06-09,27.4,90,0,2
2019-06-10,29,81,0,4
2019-06-11,28.5,88,8888,3
2019-06-12,28.1,86,0,3
2019-06-13,28.2,90,0,3
2019-06-14,28.1,87,1.3,3
2019-06-15,27.2,89,20,2
2019-06-16,28.4,89,0,2
2019-06-17,27.8,88,6.4,2
2019-06-18,28.3,89,0,2
2019-06-19,27.9,85,0,3
2019-06-20,28,87,8888,3
2019-06-21,27.5,87,0,2
2019-06-22,27.3,88,37.5,2
2019-06-23,28.5,85,0,3
2019-06-24,27.6,91,0.8,2
2019-06-25,28.8,88,0,2
2019-06-26,28.5,88,0,2
2019-06-27,27.5,83,0.7,2
2019-06-28,28.4,87,0,3
2019-06-29,28.7,86,0.3,3
2019-06-30,27.5,87,19.3,2
2019-07-01,27.7,87,0,2
2019-07-02,27.6,88,0,2
2019-07-03,28.4,82,0,2
2019-07-04,28.1,88,0,3
2019-07-05,26.6,92,0,2
2019-07-06,27,90,0,2
2019-07-07,28.2,86,0,2
2019-07-08,27.7,88,0,3
2019-07-09,26.6,89,11,3
2019-07-10,27.2,93,0,2
2019-07-11,27.7,88,1.5,3
2019-07-12,26.3,92,0,2
2019-07-13,27.2,86,0,3
2019-07-14,26.7,88,2.8,3
2019-07-15,27,88,30.8,2
2019-07-16,28,84,0,2
2019-07-17,28.1,89,0,4
2019-07-18,27.3,90,6,3
2019-07-19,27.8,89,4,3
2019-07-20,27.8,86,0.2,2
2019-07-21,28.4,87,0,2
2019-07-22,27,90,4.2,2
2019-07-23,28.1,89,1.5,2
2019-07-24,26.3,93,8888,2
2019-07-25,27.4,90,1.6,2
2019-07-26,27.7,86,0.6,2
2019-07-27,27.6,88,0,2
2019-07-28,27.1,86,0,2
2019-07-29,27.5,88,0,3
2019-07-30,26.8,84,0.1,2
2019-07-31,27.7,86,0,2
2019-08-01,27.6,89,0,2
2019-08-02,27.7,82,3.2,2
2019-08-03,27.5,86,0,2
2019-08-04,28.1,88,0,3
2019-08-05,27.3,85,0,2
2019-08-06,28.3,77,0,2
2019-08-07,28.3,80,0,2
2019-08-08,28.6,80,0,3
2019-08-09,27.6,87,0,2
2019-08-10,26.6,91,1.2,3
2019-08-11,27.9,83,6.2,3
2019-08-12,28.5,81,0,2
2019-08-13,28.1,79,0,3
2019-08-14,27.5,88,0,2
2019-08-15,27.3,91,8888,2
2019-08-16,26.7,88,0,3
2019-08-17,28,81,8888,2
2019-08-18,26.6,86,0.6,2
2019-08-19,27.8,86,1.5,3
2019-08-20,28,81,0,3
2019-08-21,26.3,87,6.9,2
2019-08-22,26.7,82,0.1,2
2019-08-23,27,86,0,2
2019-08-24,26.2,88,0,2
2019-08-25,26.4,86,1.1,2
2019-08-26,27,82,2.2,2
2019-08-27,27.6,79,2.8,3
2019-08-28,27.1,84,0,2
2019-08-29,27.6,84,0,3
2019-08-30,26.9,85,12.2,3
2019-08-31,28,82,0,3
2019-09-01,27.3,83,0,2
2019-09-02,27.1,83,0,4
2019-09-03,27.1,82,1.8,2
2019-09-04,26.6,86,21,2
2019-09-05,26.4,87,0,2
2019-09-06,27.8,84,0.4,3
2019-09-07,27.3,86,0,2
2019-09-08,27.4,88,0,2
2019-09-09,25.8,92,48.1,2
2019-09-10,27,88,8888,3
2019-09-11,26.9,89,12.2,3
2019-09-12,26.5,84,0,2
2019-09-13,27,84,1,3
2019-09-14,26.7,82,3.4,2
2019-09-15,25.9,89,0,2
2019-09-16,27.4,88,5.2,3
2019-09-17,27.1,82,8888,3
2019-09-18,27.4,87,0,2
2019-09-19,27.3,88,4.3,3
2019-09-20,25.8,94,37.5,2
2019-09-21,27.1,92,2.3,2
2019-09-22,27.6,83,8888,3
2019-09-23,27.5,83,0,3
2019-09-24,27.6,86,0.4,2
2019-09-25,27.8,86,0.2,3
2019-09-26,26.9,87,18.7,2
2019-09-27,26.4,87,0,2
2019-09-28,27,86,47.6,2
2019-09-29,26.6,92,0,1
2019-09-30,26.5,92,2.2,2
2019-10-01,26.3,92,4.1,3
2019-10-02,25.9,89,13.1,3
2019-10-03,25.4,86,1.5,2
2019-10-04,26.1,92,13.2,3
2019-10-05,27.6,88,0,2
2019-10-06,25.1,95,0.9,2
2019-10-07,25.9,94,1.8,2
2019-10-08,25.9,95,0.4,2
2019-10-09,25.2,92,15.1,2
2019-10-10,26.6,92,3.4,2
2019-10-11,26.3,92,8888,2
2019-10-12,26.1,93,0,1
2019-10-13,25.3,100,0,2
2019-10-14,26.1,92,1.5,2
2019-10-15,26.4,94,0.2,2
2019-10-16,26.6,89,0,2
2019-10-17,26.1,93,0,2
2019-10-18,26.1,93,11.4,2
2019-10-19,26.8,89,0.4,2
2019-10-20,27.3,91,0,3
2019-10-21,27.6,86,10.8,4
2019-10-22,26.5,86,0.8,2
2019-10-23,27.4,88,1,3
2019-10-24,26.9,88,9,3
2019-10-25,25.6,88,41,2
2019-10-26,26.6,91,1.5,2
2019-10-27,26.2,82,20.3,2
2019-10-28,25.4,93,51.2,2
2019-10-29,26.7,86,1.4,3
2019-10-30,26.7,91,0,2
2019-10-31,26.5,89,8888,3
2019-11-01,26.3,90,4.4,3
2019-11-02,26.3,90,5.6,2
2019-11-03,26.3,89,2.8,2
2019-11-04,26.4,90,0,3
2019-11-05,27.1,88,8888,2
2019-11-06,26.4,91,0,3
2019-11-07,27,89,6.2,3
2019-11-08,25.6,93,52.8,1
2019-11-09,27.5,84,0.5,2
2019-11-10,26.9,90,0,3
2019-11-11,27.1,88,0,3
2019-11-12,26.7,88,35.6,3
2019-11-13,27.1,88,0,2
2019-11-14,27.7,88,0,2
2019-11-15,27.3,92,8888,2
2019-11-16,27.3,90,1.7,2
